decade,polityid,official labels 1,description,gemini15f_5l_phase,claude35s_5l_phase,gpt4_5l_phase,gemini15f_5l_explanation,claude35s_5l_explanation,gpt4_5l_explanation,gemini15f_3l_labels,claude35s_3l_labels,gpt4_3l_labels,gemini15f_3l_explanation,claude35s_3l_explanation,gpt4_3l_explanation,r1_3l_labels,r2 3l_labels,r3_3l_labels,r1_3l_explanation,r2_3l_explanation,r3_3l_explanation,r4_5l_label,r6_5l_label,r5_5l_labels,r4_5l_explanation,r5_5l_explanation,r6_5l_explanation,errors_llms_5l,errors_llms_3l,errors_hum_5l,errors_hum_3l
1980,MxMexRe,4,strong earthquake in 1985 inflicting severe damage on Mexico City. begin of political instability. 1988 elections had fraudulent results with infiltrations by narcos.,3,4,4,(elite overproduction) - Earthquake,"(state stress) - Political instability, narco influence","(state stress) - Natural disasters, political instability, international debt crisis",2,2,0,"(decline) - Earthquake, political instability, drug trade","(decline) - Natural disasters, political instability","(rise) - Earthquake, begin of political instability, electoral reforms",2,2,2,earthquake and political instability,Strong earthquake and political instability,"Strong earthquake and beginning of political instability, infiltration of Narcos into politics",3,3,2,"natural disasters,political ciris",earthquake damage mexico,"Political instability, electoral fraud",(state stress) - Expansion of the Senate,(decline) - Third Samnite War,cultural laws,Romans at Longula win the second samnite war and stop the etruscan revolts
1990,MxMexRe,4,"president Zedillo faced the Mexican peso crisis. Military presence after the 1994 rising of the Zapatista Army of National Liberation in Chiapas. Beginning of electoral and economic reforms with US that buys Mexican debt, repaid by 2000. Julia Preston; Samuel Dillon (2005). Opening Mexico: The Making Of A Democracy. Macmillan. p. 25",4,4,4,(state stress) - Peso crisis,"(state stress) - Peso crisis, Zapatista uprising","(state stress) - Electoral and economic reform leading to international involvement, narco-influence in politics",2,2,1,"(decline) - Peso crisis, Zapatista uprising","(decline) - Currency crisis, social unrest","(apex) - Mexican peso crisis, military presence",0,2,0,electoral and economic reforms,"Peso crisis, Military presence,  Beginning of electoral and economic reforms ","President Chad addressing the Mexican crisis, USA pays off debt, start of electoral and economic reforms",4,3,3,"coin crisis,debt whit U.S.",crisis peso,peso crisis,"(elite overproduction) - Senate expansion, new elite integration",(apex) - Territorial peak reached,proibizionismo,possible financial distress after the contiuous wars
2000,MxMexRe,4,president Hinojosa won in 2006 the most hotly contested elections in Mexico history and begun the mexico drug war against narcos.,4,0,0,(state stress) - Contested elections,"(crisis) - Contested elections, drug war",(crisis) - Presidency change resulting in drug war against narcos,2,2,2,(decline) - Drug war,"(decline) - Drug war, continued instability","(decline) - Drug war, electoral reform struggle",0,0,0,mexico drug war against narcos,New president starts mexico drug war against narcos,"Good president wins the elections, war on drugs to the detriment of Narcos",0,3,3,Drugs war,drug war against narcos,war on drug cartels,"(immiseration) - further reforms, socio-political changes","(rise) - Control of additional territories, military victories","Shizong's reforms, social tension",Roman victory at Longula but possible post-war financial difficulties
2010,MxMexRe,4,"president Nieto returned the PRI to power. They called for education reform, banking reform, fiscal reform but in the end the results were modest. national monopoly of oil is the main source of income for Mexico.",4,1,1,(state stress) - PRI's return to power,"(growth) - Return to PRI, reforms attempted","(growth) - Government strives to consolidate power, some results from economic and policy reforms",2,2,2,"(decline) - Modest reforms, continued drug violence","(decline) - Modest reforms, continued challenges","(decline) - Corruption issues, return of PRI to power",1,1,0,"education reform, banking reform, fiscal reform but in the end the results were modest","Education reform, banking and fiscal reform","Return of the PRI to power, new banking reforms and economic growth thanks to the sale of oil",1,4,3,economy and politics restart,oil monopoly,"PRI return, oil monopoly",(immiseration) - City expansion,,dynasty got conquest by mongol,Roman victory and Third samnite war
1130,CnLrJin,1,"The Later Jin dynasty was founded by a confederation of Jurchen tribes from Manchuria. They defeated Liao in 1115 and Northern Song in 1127. Originally warlords, the Later Jin slowly adapted to Han customs. Emperor Taizong of Jin gave ironic titles of nobility to the captured former Song emperors. Merchants continued to produce much of the wealth.",1,1,0,(growth) - Founding of the Jin dynasty,"(growth) - New dynasty establishment, military victories, adaptation to Han customs",(Crisis) Defeated Liao and Northern Song and founded the Later Jin dynasty,0,0,0,"(rise) - Founding of the Jin dynasty, conquest of Liao and Song","(rise) - Dynasty establishment, military victories","(rise) - Defeat of Liao and Northern Song, increasing adoption of Han customs",0,2,1,defeat of Liao in 1115 and Northern Song in 1127,"The Later Jin dynasty was founded, they defeated Liao in 1115 and Northern Song in 1127","Victory of the Jin in Han, growth of the markets",1,1,1,"dynasty faundation,",merchant produce++,"Later Jin founded, defeat of Liao","(state stress) - Urban expansion, failed debt reforms",,mongol conquer jin dinasty,Third samnite war and final Roman victory
1140,CnLrJin,1,"Emperor Xizong of Jin (r. 1135-1150) several military campaigns against the Han-led Southern Song dynasty in southern China and arrived at a treaty and gained a tribute. he was was overthrown and murdered by his chancellor, Wanyan Liang, in a coup in 1150",1,1,1,(growth) - Expansion of territory,"(growth) - Territorial expansion, successful military campaigns, though ending with internal coup","(Growth) Military and political expansion, emperor was overthrown in a coup",1,0,0,"(apex) - Military campaigns, treaty with Song","(rise) - Territorial expansion, treaty gains","(rise) - Expansion into Southern Song, internal power struggles",1,2,1,"treaty with Han-led Southern Song dynasty, murder of Xizong of Jin ",Emperor Xizong of Jin after several militar campaigns was was overthrown and murdered by his chancellor by coup,Jin victory against the Chinese,1,2,1,"conquest neighbour,tribute",Xizong campaigns,"Xizong campaigns, coup by Wanyan Liang","(crisis) - killing of the king in a conspiracy, power struggle, socio-political tension",,"Mongol conquest, Jin collapse","Final Roman victory against the Samnites, control of most of Italy"
1150,CnLrJin,2,"The Jin territory included part of Korea in northeast Asia, and Uighur and Tibetan land in western China. In 1153 Wanyan Liang moved its capital from Manchuria to modern-day Beijing and starts a sinicization process of the imperial government to make it accepted as legitimate by Chinese Confucian scholars. imperial examinations offered in the Jurchen language.",2,2,1,(immiseration) - Coup,"(immiseration) - Signs of strain with sinicization process, cultural tensions beginning","(Growth) Cultural integration and expansion to Korea, Uighur and Tibetan lands",1,0,0,"(apex) - Territorial expansion, capital move to Beijing","(rise) - Administrative reforms, legitimacy building","(rise) - Expansion of territory, sinicization of imperial government",1,0,1,sinicization process ,Wanyan Liang moved its capital from Manchuria to modern-day Beijing and starts a sinicization process of the imperial government,Wanyan Lian consolidates his power in China too,1,2,1,"border expension, gorvernment develop",moved the capital,Capital moved to Bejing,(immiseration) - Twelve Tables,,"politics divergence,",
1160,CnLrJin,2,"In 1161, after the Jin dynasty lost the Battle of Caishi against the Southern Song dynasty, Wanyan Liang was deposed and killed.",2,2,2,(immiseration) - Defeat against Southern Song,"(immiseration) - Military defeats, internal instability","(Immiseration) Lost Battle of Caishi, Emperor was deposed and killed",2,1,1,"(decline) - Loss at Caishi, Wanyan Liang's death",(apex) - Military setbacks begin,"(apex) - Military defeat against Southern Song dynasty, deposition and murder of the emperor",2,0,2,"lost the Battle of Caishi, Wanyan Liang is killed",Wanyan Liang was deposed and killed,"Jin loses to the Caishi, Wanyan Liang dies and is deposed",2,3,2,"lost war, leader died",dinasty killed,"Loss in Battle of Caishi, Liang deposed","(elite overproduction) - Legal codification, formalization of power",,civil war,
1170,CnLrJin,3,Emperor Shizong (r. 1161-1189) confiscated unused land from Jurchen landowners and redistributed to the Jurchen farmers but they preferred to lease the work to Chinese farmers and engage in drinking instead. in 1175 paper factory in Hangzhou employed more than a thousand Chinese workers. Integrtion problems (language and customs),2,2,2,(immiseration) - Land redistribution,"(immiseration) - Land redistribution problems, cultural integration issues","(Immiseration) Land redistribution problems, integration tensions",2,1,1,"(decline) - Land redistribution, integration problems","(apex) - Integration issues, social tensions","(apex) - Socioeconomic challenges, integration problems",2,1,0,"integration problems, Jurchen farmers lease the work to Chinese farmers", paper factory in Hangzhou employed more than a thousand Chinese workers. Integrtion problems,"The new emperor distributes new territories, new paper factories and job growth",3,3,2,power to land honer,cultural resistance,"Land redistribution, cultural resistance","(growth) - victories in battles, important reforms",,"Toluid Civil War, empire fragmentation",
1180,CnLrJin,3,The Wealthy Jurchens feasted and drank and wore damask and silk. Emperor Shizong of Jin tried to revive ancient Jurchen traditions. in 1188 he prohibited Jurchens from wearing Han Chinese clothes.,3,3,3,(elite overproduction) - Jurchen elite's lavish lifestyle,"(elite overproduction) - Elite excess, cultural tensions between Jurchen and Han",(Elite Overproduction) Competition between wealthy Jurchens and Han Chinese customs,2,1,1,"(decline) - Jurchen traditions, Mongol rebellion","(apex) - Elite excess, cultural conflicts","(apex) - Preservation of wealth and customs, social tensions",0,1,1,revive of ancient Jurchen traditions,The Wealthy Jurchens feasted and drank,"The Jurchen do drugs, the emperor dissociates himself",3,4,2,cultural laws,proibizionismo,"Shizong's reforms, social tension",(crisis) - Second Samnite War,,"militar lost, empire disrupt",
1190,CnLrJin,3,Emperor Zhangzong of Jin established many Confucian temples and was tolerant of both Han and Jurchen cultures. However he started showing favoritism to one of his concubines family members in political office. The Mongol Tatars who once allied with the Jin dynasty rebelled and joined the rising Mongol Empire.,3,3,3,(elite overproduction) - Mongol rebellion.,"(elite overproduction) - Political favoritism, alliance deterioration","(Elite Overproduction) Power struggles, discontent over political favoritism, revolt within the Mongol Tatars",2,2,1,"(decline) - Cultural tolerance, Mongol threat","(decline) - Political favoritism, external threats","(apex) - Emperor's favoritism and political instability, Mongol rebellion",1,1,1,"tolerance of Han and Jurchen cultures, rebellion of Jin dynasty",Emperor Zhangzong of Jin established many Confucian temples and was tolerant of both Han and Jurchen cultures,"Well, everything seems to be going well",4,4,2,"inequity, preferences",favouritism of family,"Zhangzong favoritism, Mongol rebellion","(elite overproduction) - Military setbacks, class-based army",,splitting of the empire,
1200,CnLrJin,3,"many Jurchen people moved from Manchuria into China during Jin rule, The population of the Jin dynasty was between 45 million and 54 million people in 1200. By the end of the 12th century, convertibility of paper money into coins was suspended, starting a fiat money policy (currency not backed by real goods).",3,4,4,(elite overproduction) - Economic issues,"(state stress) - Population pressures, monetary policy issues","(State stress) Economic inflation, population growth, fiat money policy",2,2,2,"(decline) - Population growth, economic instability","(decline) - Economic issues, currency problems","(decline) - Massive migration, adoption of a fiat money policy",1,2,1,"Jurchen population moves to China, convertibility of paper money into coins suspended"," convertibility of paper money into coins was suspended, starting a fiat money policy (currency not backed by real goods)","The Jurchen move to where things are even better, demographic growth of the Jin, monetary policy",4,4,3,economy crisis,poeple migration,"Jurchen migration, economic strain","(state stress) - wars, imposition of harsh treaty terms, widespread financial distress",,"Kublai reforms, growth",
1210,CnLrJin,4,This period was marked by conflict with the Southern Song and the Mongols. The Later Jin Jurchen government also struggled with economic inflation and flooding.,4,4,4,(state stress) - Conflicts with Southern Song and Mongols,"(state stress) - Multiple conflicts, economic inflation, natural disasters","(State stress) conflicts with Southern Song and Mongols, economic inflation and naturals disasters",2,2,2,(decline) - Conflict with Song and Mongols,"(decline) - Multiple conflicts, economic troubles","(decline) - Conflicts with Southern Song and Mongols, economic and environmental challenges",2,2,1,"conflict with the Southern Song and the Mongols, economic inflation and flooding","The Later Jin Jurchen government also struggled with economic inflation, flooding and conflicts","Beginning of wars against the Southern Song and the Mongols, the Jin are hit by the resulting inflation",0,0,3,economi and market crisis,economic inflation,Conflict with Southern Song and Mongols,(growth) - Construction of Via Appia and aqueduct,,restart economi and politics,
1220,CnLrJin,4,declining state of the Jin dynasty under Emperor Zhangzong of Jin and his successor Wanyan Yongji,4,4,0,(state stress) - Declining state,(state stress) - Continued decline of state power,(Crisis) Political decline under Wanyan Yongji,2,2,2,(decline) - Declining state,(decline) - State decline continues,(decline) - Continued decline under Emperor Zhangzong,2,2,2,declining state of the Jin dynasty,declining state of the Jin dynasty,Decline of the Jin dynasty,0,0,4,dynasty decline,state declining,Decline of Jin,"(elite overproduction) - Infrastructure projects, career system",,china reformed,
1230,CnLrJin,0,"In 1233, the Later Jin dynasty was conquered by Mongol forces of Ögedei Khan, successor of Gengis Kahn, who then ruled over Mongolia and China as the Yuan dynasty.",0,0,0,(crisis) - Conquest by the Mongol Empire.,"(crisis) - Conquest by Mongols, dynasty collapse",(Crisis) Conquered by Mongol forces and become the Yuan dynasty,2,2,2,(decline) - Conquest by Mongols,(decline) - Final conquest by Mongols,(decline) - The fall of Jin dynasty to Mongol Empire,0,2,0,Yuan dynasty,the Later Jin dynasty was conquered by Mongol forces,"The Jin are conquered by the Mongols, the new Yuan dynasty",0,1,4,dynasty got conquest by mongol,mongol conquer jin dinasty,"Mongol conquest, Jin collapse","(crisis) - failure in battles, infrastructural developments, prophylaxis measures against future attacks",,"Cultural, commercial growth, Marco Polo contact",
1240,MnMngKh,1,"Ögedei Kahn expands the Mongol Empire to Rus (Ukraine). It covered almost all the cental and east Asia plus part of the eastern Europe. His brother Tolui was regent in Mongolia. Mongolian rulers proclamation was made by the powerful shaman Khorchi as a will of Heaven. Elite are warlords, productive population are mostly merchants.",1,1,1,(growth) - Expansion of the Mongol Empire under Ögedei Khan.,"(growth) - Rapid expansion, strong legitimacy through religion",(Growth) Expanded the Mongol Empire to cover most of Asia,0,0,0,(rise) - Expansion of the Mongol Empire,"(rise) - Rapid expansion, strong centralized power, religious legitimation, clear elite structure","(rise) - Expansion into Rus (Ukraine), elite warrior class, increasing role of monarchy",0,1,1,Ögedei Kahn expands the Mongol Empire to Rus,"Ögedei Kahn expands the Mongol Empire to Rus (Ukraine).  Elite are warlords, productive population are mostly merchants.","Expansion of the Mongols into Ukraine, Europe and Asia, warmongering elite, productive population of merchants",3,1,1,"conquest the west,",productive population,"consolidation of power, empire growth",(immiseration) - Third Samnite War,,"culture promotion, punish curruption, riot",
1250,MnMngKh,2,"Hulagu Kahn, son of Tolui, captured Baghdad in 1258 and destroyed the Abbasid caliphate. two lines of succession: sons of Tolui (Möngke, Kublai, Hulagu, Ariq Böke) and sons of Ögedei (Kashin, Kaidu)",2,1,1,(immiseration) - Capture of Baghdad,"(growth) - Continued expansion, successful military campaigns","(Growth) Conquered Baghdad, line of succession established",1,0,0,(apex) - Capture of Baghdad,"(rise) - Continued expansion, military success, strong leadership structure","(rise) - Capture of Baghdad and destruction of Abbasid caliphate, succession struggles",1,2,1,capture of Baghdad in 1258 and destroyed the Abbasid caliphate,"Hulagu Kahn, son of Tolui, captured Baghdad in 1258 and destroyed the Abbasid caliphate","Conquest of the Mongols of new territories, new lines of succession",3,2,2,"conquest baghdad, divided dynasty",destroyed the Abbasid caliphate,"Hulagu’s conquest of Baghdad, elite factionalism","(state stress) - Territorial expansion, internal strain",,corrupted generals,
1260,MnMngKh,2,"Kahn election in 1260 had rival factions of Kublai, supported by Chinese dynasties and Ariq Böke was supported by the traditionalists of the Mongol Empire. They could not agree and elected both claimants resulting in the Toluid Civil War that fragmented the Mongol Empire.",0,2,2,(crisis) - Toluid Civil War,"(immiseration) - Succession crisis, beginning of fragmentation",(Immiseration) Power struggle between two factions of Mongol Empire resulted in Civil War,2,1,0,(decline) - Toluid Civil War,"(apex) - Elite competition emerges, succession struggles begin",(rise) - Kanh election and fragmentation of the Mongol Empire,2,2,2,Toluid Civil War,Civil war,"New rival factions, civil wars",4,2,3,"politics divergence,",civil war,"Toluid Civil War, empire fragmentation","(growth) - end of wars, enlargement of territories, relief from constant conflicts",,"despotic rule, floods, revolts",
1270,MnMngKh,2,"The Mongol empire was so vast that they split it into four regions under four Khans: the Golden Horde in Russia, the Chagatai Khanate in Central Asia, the Great Yuan in China and the Il-khanate in Iran and Iraq. Kublai Kahn (r. 1264-1294) reigned over the great Yuan (China, Korea, Mongolia). Use of bombs from 1270s. Unsuccessful naval attack to Japan in 1274.",1,2,2,(growth) - Division of the Mongol Empire into four Khanates.,"(immiseration) - Empire division, military setbacks","(Immiseration) Fragmented the empire into four regions, advanced weapons",2,2,1,(decline) - Fragmentation of the Mongol Empire,"(decline) - Empire fragmentation, military failures, administrative division","(apex) - Split of the Empire into autonomous khanates, military advancements",2,0,2,division of the Mongolian empire into four regions,The Mongol empire was so vast that they split it into four regions under four Khans,"Division, bombs, wars and strange names",0,3,4,"militar lost, empire disrupt",splitting of the empire,"Kublai reforms, growth",,,plague revoult,
1280,CnYuan*,2,"Kublai Kahn reformed China as suggested by Chinese advisers: centralized the bureaucracy expanding the circulation of paper money, and maintaining the traditional monopolies on salt and iron. Contacts with Marco Polo and Venetian merchants.",2,1,3,(immiseration) - Kublai Khan's rule,"(growth) - New dynasty establishment, bureaucratic reforms","(Elite Overproduction) Expanding bureaucracy, monopoly over salt and iron, merchandising",0,0,0,"(rise) - Kublai Khan's rule, Yuan dynasty","(rise) - New administrative system, economic reforms, international trade","(rise) - Reform of bureaucracy, extension of trade networks",0,1,0,reformation of China,"China centralized the bureaucracy expanding the circulation of paper money, and maintaining the traditional monopolies","New reign of Kublai Khan, bureaucracy and expansion of the currency, contacts with the Venetian market",1,3,0,restart economi and politics,china reformed,"Cultural, commercial growth, Marco Polo contact",,,purges,
1290,CnYuan*,3,"Kublai Kahn promoted commercial, scientific, and cultural growth. He supported the merchants of the Silk Road trade network by protecting the Mongol postal system. he also cancelled the Confucian exhamination and managed power in autocratic way. Death of Kublai Kahn in 1294",2,1,3,(immiseration) - Kublai Khan's death,"(growth) - Commercial and cultural development, though with autocratic tendencies","(Elite Overproduction) Trade network protected, support for merchants, economic growth, Chinese advisors",1,0,0,(apex) - Economic and cultural growth,"(rise) - Cultural/economic growth, trade network development","(rise) - Promotion of commercial, scientific, and cultural growth, centralization of power",0,1,1,"commercial, scientific and cultural growth","Kublai Kahn promoted commercial, scientific, and cultural growth.","Commercial, scientific and cultural growth, autocracy, death of Kublai Khan",1,4,1,"support trade,sience,culture",cultural growth,population decline,,,"corruption, bubonic plague",
1300,CnYuan*,3,"Temür Khan (r.1294 - 1307) made peace treaty with the western Mongol khanates as well as Vietnam, that payed a tribute as vassal state.",2,2,4,(immiseration) -  Peace treaties,(immiseration) - Beginning of problems despite peaceful period,"(State stress) Economic debt, political unrest, inter-faith conflicts",1,1,1,(apex) - Peace with other Khanates,"(apex) - Stabilization period, tributary system established","(apex) - Peace treaties, vassal states, and tributes",0,1,1,peace treaty with the western Mongol khanates and Vietnam,More peace ,"Peace treaties, payment of debts, Mongolian-Vietnam alliance",1,4,1,"conquest, tribute",vassal state payment,"Külüg Khan’s financial mismanagement, discontent",,,plague corruption,
1310,CnYuan*,3,"Külüg Khan (r. 1307-1311) generously gave bonus to imperial princes and Mongol aristocrats, creating severe financial debt and popular discontent. Pope Benedict XII successfully extended a network of Catholic churches throughout the Mongol Empire from Crimea to China starting from 1317",3,2,4,(elite overproduction) - Financial crisis,"(immiseration) - Financial problems, debt accumulation","(State stress) Debt, public discontent, political favoritism from Emperor to concubine family",2,1,1,"(decline) - Financial crisis, popular discontent","(apex) - Financial stress, elite overcompensation","(apex) - Economic debt and popular discontent, spread of Catholicism",1,1,2,bonus to imperial princes and Mongol aristocrats but severe financial debt and popular discontent,"Külüg Khan generously gave bonus to imperial princes and Mongol aristocrats, creating severe financial debt and popular discontent","Serious debts, popular discontent, birth of the Catholic churches in the Mongol empire",2,4,2,"divaided population, debt",financial debt,"Buyantu’s Confucian reforms, coups, social unrest",,,begun of corruption,
1320,CnYuan*,4,"Buyantu Khan (1311-1320), was a competent emperor that promoted chinese culture, reintroduced Confucian examination and executed corrupted generals. In 1328 a coup involving five princes from rival faction steppe elite opposed to Confucian reforms, placed Yesün Temür as emperor. Revolts started from the Chinese minorities",3,3,0,(elite overproduction) - Coups,"(elite overproduction) - Factional struggles, coup, minority revolts","(Crisis) Unsuccessful economic reforms causing revolt, coup, power struggles",2,2,1,"(decline) - Coups, revolts","(decline) - Power struggles, coups, minority revolts","(apex) - Embrace of Chinese culture and strong governance, rising revolts",1,2,0,reintroduced Confucian examination and executed corrupted generals but revolts started from the Chinese minorities,"a coup involving five princes from rival faction steppe elite opposed to Confucian reforms, placed Yesün Temür as emperor. Revolts started from the Chinese minorities","New emperor, killing of corrupt generals, revolts of Chinese minorities",3,0,2,"culture promotion, punish curruption, riot",corrupted generals,"despotic rule, floods, revolts",,,"Red Turban Rebellion, Mongol warload reliance",
1330,CnYuan*,4,"Emperor Toghon Temür (r. 1333-1368) crushed revolts and had despotic rule, he made several purges and suspended the imperial examination system. in the 1330s massive flooding of the Yellow River inundated dozen of cities, putting the Grand Canal out of service. Plague and famine devastated the Huai River area. population unrests.",4,3,0,(state stress) - Toghon Temür's rule,"(elite overproduction) - Despotic rule, purges, natural disasters","(Crisis) Despotic rule of Emperor Toghon Temür sparking revolt, natural disasters causing famine",2,2,2,"(decline) - Toghon Temür's rule, natural disasters","(decline) - Despotic rule, natural disasters, population unrest","(decline) - Despotic rule, environmental and health crises, social unrest",2,2,1,"massive flooding, plague and famine","After revolts the emperor made several purges and suspended the imperial examination system, plague and famine devastated the Huai River area","New emperor who quelled revolts, plague, famine, demographic disorders",4,0,3,plague revoult,purges,"corruption, bubonic plague",,,pirate war for salt,
1340,CnYuan*,4,"in 1340 the historian Toqto-a became coucellor of Emperor Toghon Temür. he restored imperial examination system, but oppositors forced him to resign in 1345. Corruption begun again in the end of the decade and Toqto-a was reitegrated. Bubonic plague. epidemic of 1344-46 was called in China great pestilence. Sussman (2011). ""Was the black death in India and China?""",4,4,1,(state stress) -  Bubonic plague,"(state stress) - Political instability, corruption, plague","(Growth) Rule of historian Toqto-a, restoration of imperial examination, attempts to restore effective governance",2,2,2,"(decline) - Plague, rebellions","(decline) - Political instability, plague, corruption","(decline) - Political instability, purges, corruption, and bubonic plague",2,2,2,"Corruption begun, Bubonic plague","Corruption begun again, Bubonic plague","Reconstruction of corruption, bubonic plague, epidemics",0,1,4,plague corruption,begun of corruption,"Red Turban Rebellion, Mongol warload reliance",,,monopoly raised,
1350,CnYuan*,4,"pirate salt dealers disaffected by the government salt monopoly raised a rebellion that triggered the Red Turban Rebellion in 1351. it grew into a nationwide turmoil. Toqto-a was assembling an army but Emperor Toghon Temür accused him of treason and had to rely on Mongol warlords, that requested more power, weakening central government.",0,4,2,(crisis) - Red Turban Rebellion.,"(state stress) - Widespread rebellion, weakening central authority","(Immiseration) Power instability and social unrest, spread of Bubonic plague",2,2,2,(decline) - Red Turban Rebellion,"(decline) - Widespread rebellion, government weakness","(decline) - Uprisings, monopolies, and weakening of central government",2,2,2,weakening of central government,nationwide turmoil,"Revolutions, rebellions, weakening of government",0,2,4,pirate war for salt,monopoly raised,"Internal dissension, waking central power, Yuan collapse",,,"Internal dissension, waking central power, Yuan collapse",
1360,CnYuan*,0,"internal dissensions between the various ordos (political units) and local rebellions led to Mongol Empire disaggregation. In 1368, following the defeat of the Yuan forces by the Ming dynasty, Emperor Toghon Temür retreated to the Mongolian Plateau and continued to rule until 1635 when surrendered to the Later Jin dynasty (which later evolved into the Qing dynasty).",0,0,4,(crisis) - Fall of the Yuan dynasty.,"(crisis) - Dynasty collapse, territorial loss","(State stress) Lingering effects of plague, Red Turban Rebellion, weakening central government",2,2,2,(decline) - Collapse of the Yuan dynasty,"(decline) - Final collapse, loss of territory","(decline) - Dissensions, rebellions, retreat and surrender to the Later Jin",2,2,0,Mongol Empire disaggregation,internal dissensions between the various ordos (political units) and local rebellions led to Mongol Empire disaggregatio,"Disintegration of the Mongol empire, rise to power of the Jin",0,2,4,rebellion dynasty defeat,internal dissensions,"Yuan defeat by Ming, retreat to Mongolia, crisis",,,rebellion dynasty defeat,
-750,ItRomRg,1,Romolus and Remo killed the usurper Amilius restoring king Numitor of Alba Longa. Foundation of Rome in 753 BC (although there is archaeological evidence for its occupation from 1000 BC). Romolus kills Remo after a strategic dispute. Rome was probably a military fort to control the passage over the Tiber river. The myth of the she-wolf was invented after 300 BC,1,0,0,(growth) - Founding of Rome,"(crisis) - Power transition with Romulus/Remus overthrowing Amilius, foundation of Rome","(crisis) - power struggles, the foundation of Rome and elevated tensions",0,0,0,(rise) - Founding of Rome,"(rise) - Foundation period, initial power structure establishment","(rise) - Foundation of Rome, military fortification",0,0,0,foundation of Rome,Foundation of Rome,"Rise of Romulus and Remus, foundation of Rome, killing of Remus",0,1,0,rome faundation,remolus and remo killed amilius,"Romulus and Remus, foundation of Rome",,,internal dissensions,
-740,ItRomRg,2,"southern Lazio had many kingdoms: Alba Longa, Volsci, Sabini, Marsi. Rome was a fort at the border with Etruscans. king Romulus tried to ally with Sabini marrying his chiefs, but when refused raped Sabine women and defeatd Sabini with the help of Numitor of Alba Longa and Lucumo (Etruscan), Sabine women stopped the fight and initiate Sabine-Roman integration",1,1,1,(growth) - Integration with Sabines,"(growth) - New social integration between Romans and Sabines, military expansion","(growth) - building alliances, integration of Sabini into Roman community",0,0,0,(rise) - Alliance and integration with Sabines,"(rise) - Territory expansion, alliance building","(rise) - Alliances and wars between neighbouring tribes, expansion of social structure",1,0,0,"Romulus defeated Sabini, Sabine women stopped the fight and initiate Sabine-Roman integration",king Romulus tried to ally with Sabini ,New Sabine-Roman alliance,1,1,1,conquiest neighbor,roman integration,"Rome's expansion, Sabine women, Roman integration",,,"Yuan defeat by Ming, retreat to Mongolia, crisis",
-730,ItRomRg,3,"In Rome Romulus ruled with Tatius of Sabini, formed the senatus (that elect kings), the curiate assembly (votes the laws of the king), the army and the 3 tribes of patricians (nobleman). The policy is to give Roman citizenship to men of all classes. Probably there wa no need for irrigation, but production systems for military purposes was well advanced",2,1,1,(immiseration) - Conflicts with neighbors,"(growth) - Institution building (Senate, assembly), inclusive citizenship policies","(growth) - stabilization of power structures, policy of welcoming outsiders",0,0,0,(rise) - Establishment of Roman institutions,"(rise) - Institution building, social integration","(rise) - Establishment of political institutions, social organization",1,0,1,production systems for military purposes was well advanced,"Romulus formed the senatus, the curiate assembly, the army and the 3 tribes of patricians","Formation of the senate, assemblies and armies, Roman citizenship for men of all classes",1,1,0,politic develop,senatus begin to form,"Romulus' rule, citizenship",,,social division,
-720,ItRomRg,4,"in 720s BC Etruscans  begin the orientalizing period (a heavy influence from the more advanced art of the Eastern Mediterranean style of pottery and motifs). Skirmish between Rome and Veii, Tatius was slain in a riot at Lavinium. Romulus do not want to punish the vassal city. turmoils in the Roman senate.",2,2,2,(immiseration) - Etruscan influence,"(immiseration) - Political tensions, skirmishes with Veii, internal turmoil",(immiseration) - internal turmoils and conflicts with Etruscans,1,0,0,"(apex) - Conflict with Veii, Tatius' death","(rise) - Military development, territorial consolidation","(rise) - Cultural influence from Etruscans, skirmishes and political unrest",2,0,2,skirmish between Rome and Veii,Etruscans  begin the orientalizing period,"Skirmish between Rome and Velo, death of Tatius, no punishment, riots in the senate",2,2,0,"cultural develop, skirmish",skirmish rome and vail,Etruscan influence,,,production an social development,
-710,ItRomRg,0,"death of Romulus in 716 BC, probably by the senate, but not clear. one year of interregnum. Elected Numa Pompilus (r.715–672 BC) of Sabini. he was legitimated by Jupiter omens and was a wise king of peace and humilty who promoted pietas in a society of warriors. introduced the 12 month calendar in 713 BC",2,2,3,(immiseration) - Death of Romulus,"(immiseration) - Death of Romulus, interregnum period, transition to Numa","(elite overproduction) - death of Romulus, politic intrigue and the emergence of a new king",1,0,0,"(apex) - Numa Pompilius' reign, religious reforms",(rise) - Religious/political institution building,"(rise) - Transition of power, promotion of peace and humility",0,0,0,"elected Numa Pompilus, wise king of peace",Elected Numa Pompilius being a wise king of peace and humilty who promoted pietas in a society of warriors,"Death of Romulus, new King",2,2,1,new election, pietas in a society of warriors,"Death of Romulus, peace and pietas",,,"military focus, checks on rules",
